Datum,Uhrzeit,Spannung (V),Strom (A),Leistung (P)
21.06.2020,13:58:30,11.33900396650507,0.425531914893617,4.825108070853221
21.06.2020,13:58:30,11.526068752754519,0.2978723404255319,3.43329707528858
21.06.2020,13:58:31,11.554847950639049,0.3404255319148936,3.9335652597920165
21.06.2020,13:58:31,11.526068752754519,0.2978723404255319,3.43329707528858
21.06.2020,13:58:32,11.490094755398854,0.40425531914893614,4.644931922395281
21.06.2020,13:58:32,11.497289554869988,0.2765957446808511,3.180101366240635
21.06.2020,13:58:33,11.497289554869988,0.32978723404255317,3.791659321286911
21.06.2020,13:58:33,11.482899955927723,0.32978723404255317,3.7869138152527593
21.06.2020,13:58:33,11.554847950639049,0.35106382978723405,4.056489174160517
21.06.2020,13:58:34,11.497289554869988,0.3617021276595745,4.158594094314677
21.06.2020,13:58:34,11.547653151167916,0.3191489361702127,3.685421218457845
21.06.2020,13:58:35,11.482899955927723,0.3829787234042554,4.397706366099979
21.06.2020,13:58:35,11.490094755398854,0.3829787234042554,4.400461821216583
21.06.2020,13:58:36,11.497289554869988,0.3617021276595745,4.158594094314677
21.06.2020,13:58:36,11.403757161745263,0.3936170212765957,4.488712925367816
21.06.2020,13:58:36,11.461315557514324,0.3191489361702127,3.6578666672918048
21.06.2020,13:58:37,11.47570515645659,0.40425531914893614,4.639114850482451
21.06.2020,13:58:37,11.468510356985457,0.37234042553191493,4.270190026537138
21.06.2020,13:58:38,11.490094755398854,0.35106382978723405,4.033756669448533
21.06.2020,13:58:38,11.418146760687527,0.35106382978723405,4.008498330879664
21.06.2020,13:58:39,11.461315557514324,0.3617021276595745,4.145582222930713
21.06.2020,13:58:39,11.482899955927723,0.3617021276595745,4.1533893457610915
21.06.2020,13:58:39,11.418146760687527,0.32978723404255317,3.7655590380990778
21.06.2020,13:58:40,11.490094755398854,0.3617021276595745,4.155991720037884
21.06.2020,13:58:40,11.42534156015866,0.32978723404255317,3.767931791116154
21.06.2020,13:58:41,11.418146760687527,0.40425531914893614,4.615846562831128
21.06.2020,13:58:41,11.511679153812253,0.32978723404255317,3.7964048273210618
21.06.2020,13:58:42,11.418146760687527,0.37234042553191493,4.25143762366025
21.06.2020,13:58:42,11.490094755398854,0.3191489361702127,3.667051517680485
21.06.2020,13:58:42,11.439731159100926,0.35106382978723405,4.016075832450325
21.06.2020,13:58:43,11.389367562802997,0.3936170212765957,4.483048934294796
21.06.2020,13:58:43,11.482899955927723,0.3617021276595745,4.1533893457610915
21.06.2020,13:58:44,11.42534156015866,0.3829787234042554,4.375662725167147
21.06.2020,13:58:44,11.454120758043192,0.32978723404255317,3.777422803184457
21.06.2020,13:58:45,11.461315557514324,0.3617021276595745,4.145582222930713
21.06.2020,13:58:45,11.346198765976201,0.3936170212765957,4.466056961075738
21.06.2020,13:58:46,11.454120758043192,0.3617021276595745,4.142979848653921
21.06.2020,13:58:46,11.446925958572058,0.3191489361702127,3.653274242097465
21.06.2020,13:58:46,11.42534156015866,0.35106382978723405,4.011024164736551
21.06.2020,13:58:47,11.432536359629793,0.3936170212765957,4.5000409075138545
21.06.2020,13:58:47,11.3677831643896,0.3617021276595745,4.111751357332409
21.06.2020,13:58:48,11.39656236227413,0.35106382978723405,4.0009208293090035
21.06.2020,13:58:48,11.403757161745263,0.35106382978723405,4.0034466631658905
21.06.2020,13:58:49,11.454120758043192,0.3617021276595745,4.142979848653921
21.06.2020,13:58:49,11.446925958572058,0.3829787234042554,4.383929090516959
21.06.2020,13:58:49,11.360588364918467,0.3829787234042554,4.350863629117711
21.06.2020,13:58:50,11.403757161745263,0.3617021276595745,4.124763228716372
21.06.2020,13:58:50,11.410951961216396,0.30851063829787234,3.5204000731412286
21.06.2020,13:58:51,11.432536359629793,0.35106382978723405,4.013549998593438
21.06.2020,13:58:51,11.389367562802997,0.3404255319148936,3.8772315107414457
21.06.2020,13:58:52,11.3677831643896,0.3829787234042554,4.353619084234316
21.06.2020,13:58:52,11.389367562802997,0.32978723404255317,3.7560680260307753
21.06.2020,13:58:52,11.403757161745263,0.3404255319148936,3.8821300976154087
21.06.2020,13:58:53,11.418146760687527,0.35106382978723405,4.008498330879664
21.06.2020,13:58:53,11.418146760687527,0.35106382978723405,4.008498330879664
21.06.2020,13:58:54,11.389367562802997,0.35106382978723405,3.998394995452116
21.06.2020,13:58:54,11.418146760687527,0.32978723404255317,3.7655590380990778
21.06.2020,13:58:55,11.439731159100926,0.3404255319148936,3.8943765648003152
21.06.2020,13:58:55,11.42534156015866,0.3617021276595745,4.132570351546749
21.06.2020,13:58:55,11.374977963860731,0.35106382978723405,3.9933433277383417
21.06.2020,13:58:56,11.360588364918467,0.3936170212765957,4.4717209521487575
21.06.2020,13:58:56,11.403757161745263,0.35106382978723405,4.0034466631658905
21.06.2020,13:58:57,11.403757161745263,0.3191489361702127,3.639496966514445
21.06.2020,13:58:57,11.382172763331866,0.30851063829787234,3.5115213844321715
21.06.2020,13:58:58,11.432536359629793,0.3404255319148936,3.891927271363334
21.06.2020,13:58:58,11.3677831643896,0.32978723404255317,3.748949766979549
21.06.2020,13:58:59,11.39656236227413,0.30851063829787234,3.5159607287866996
21.06.2020,13:58:59,11.439731159100926,0.3191489361702127,3.6509780295002954
21.06.2020,13:58:59,11.410951961216396,0.37234042553191493,4.248758708963552
21.06.2020,13:59:00,11.410951961216396,0.35106382978723405,4.0059724970227775
21.06.2020,13:59:00,11.374977963860731,0.3191489361702127,3.630312116125765
21.06.2020,13:59:01,11.410951961216396,0.3617021276595745,4.127365602993165
