Datum,Uhrzeit,Spannung (V),Strom (A),Leistung (P)
16.07.2020,14:03:14,12.022509916262672,0.4148936170212766,4.988062624832385
16.07.2020,14:03:15,12.087263111502864,0.2553191489361702,3.0861097305964758
16.07.2020,14:03:15,12.0728735125606,0.32978723404255317,3.9814795626529635
16.07.2020,14:03:16,12.065678713089467,0.28723404255319146,3.465673672908676
16.07.2020,14:03:16,12.036899515204937,0.35106382978723405,4.225720042571946
16.07.2020,14:03:16,12.065678713089467,0.28723404255319146,3.465673672908676
16.07.2020,14:03:17,12.058483913618334,0.3404255319148936,4.105015800380709
16.07.2020,14:03:17,12.065678713089467,0.2553191489361702,3.0805988203632677
16.07.2020,14:03:17,12.065678713089467,0.28723404255319146,3.465673672908676
16.07.2020,14:03:18,12.0728735125606,0.2978723404255319,3.596175088847838
16.07.2020,14:03:18,12.065678713089467,0.30851063829787234,3.7223902412722825
16.07.2020,14:03:19,12.0728735125606,0.32978723404255317,3.9814795626529635
16.07.2020,14:03:19,12.065678713089467,0.2978723404255319,3.594031957090479
16.07.2020,14:03:19,12.0728735125606,0.3404255319148936,4.109914387254672
16.07.2020,14:03:20,12.058483913618334,0.2978723404255319,3.5918888253331205
16.07.2020,14:03:20,12.065678713089467,0.2978723404255319,3.594031957090479
16.07.2020,14:03:21,12.058483913618334,0.3617021276595745,4.361579287904504
16.07.2020,14:03:21,12.051289114147202,0.30851063829787234,3.717950896917754
16.07.2020,14:03:21,12.065678713089467,0.30851063829787234,3.7223902412722825
16.07.2020,14:03:22,12.0728735125606,0.28723404255319146,3.4677402642461295
16.07.2020,14:03:22,12.0728735125606,0.35106382978723405,4.238349211856381
16.07.2020,14:03:23,12.065678713089467,0.32978723404255317,3.9791068096358875
16.07.2020,14:03:23,12.065678713089467,0.2765957446808511,3.337315388726874
16.07.2020,14:03:23,12.065678713089467,0.28723404255319146,3.465673672908676
16.07.2020,14:03:24,12.065678713089467,0.30851063829787234,3.7223902412722825
16.07.2020,14:03:24,12.065678713089467,0.2553191489361702,3.0805988203632677
16.07.2020,14:03:24,12.044094314676068,0.3617021276595745,4.356374539350918
16.07.2020,14:03:25,12.065678713089467,0.26595744680851063,3.2089571045450707
16.07.2020,14:03:25,12.065678713089467,0.3191489361702127,3.8507485254540845
16.07.2020,14:03:26,12.0728735125606,0.32978723404255317,3.9814795626529635
16.07.2020,14:03:26,12.058483913618334,0.3191489361702127,3.8484523128569146
16.07.2020,14:03:26,12.0728735125606,0.3617021276595745,4.36678403645809
16.07.2020,14:03:27,12.058483913618334,0.2978723404255319,3.5918888253331205
16.07.2020,14:03:27,12.058483913618334,0.2978723404255319,3.5918888253331205
16.07.2020,14:03:28,12.0728735125606,0.2978723404255319,3.596175088847838
16.07.2020,14:03:28,12.065678713089467,0.2765957446808511,3.337315388726874
16.07.2020,14:03:28,12.058483913618334,0.32978723404255317,3.976734056618812
16.07.2020,14:03:29,12.0728735125606,0.30851063829787234,3.7246099134495467
16.07.2020,14:03:29,12.080068312031733,0.3404255319148936,4.1123636806916535
16.07.2020,14:03:29,12.0728735125606,0.3191489361702127,3.853044738051255
16.07.2020,14:03:30,12.0728735125606,0.3404255319148936,4.109914387254672
16.07.2020,14:03:30,12.058483913618334,0.30851063829787234,3.7201705690950178
16.07.2020,14:03:31,12.065678713089467,0.30851063829787234,3.7223902412722825
16.07.2020,14:03:31,12.058483913618334,0.30851063829787234,3.7201705690950178
16.07.2020,14:03:31,12.065678713089467,0.30851063829787234,3.7223902412722825
16.07.2020,14:03:32,12.065678713089467,0.30851063829787234,3.7223902412722825
16.07.2020,14:03:32,12.051289114147202,0.30851063829787234,3.717950896917754
16.07.2020,14:03:33,12.051289114147202,0.2978723404255319,3.5897456935757623
16.07.2020,14:03:33,12.058483913618334,0.30851063829787234,3.7201705690950178
16.07.2020,14:03:33,12.065678713089467,0.3404255319148936,4.107465093817691
16.07.2020,14:03:34,12.058483913618334,0.2978723404255319,3.5918888253331205
16.07.2020,14:03:34,12.058483913618334,0.32978723404255317,3.976734056618812
16.07.2020,14:03:34,12.065678713089467,0.3191489361702127,3.8507485254540845
16.07.2020,14:03:35,12.065678713089467,0.28723404255319146,3.465673672908676
16.07.2020,14:03:35,12.058483913618334,0.26595744680851063,3.207043594047429
16.07.2020,14:03:36,12.065678713089467,0.28723404255319146,3.465673672908676
16.07.2020,14:03:36,12.0728735125606,0.3404255319148936,4.109914387254672
16.07.2020,14:03:36,12.0728735125606,0.3404255319148936,4.109914387254672
16.07.2020,14:03:37,12.065678713089467,0.28723404255319146,3.465673672908676
16.07.2020,14:03:37,12.065678713089467,0.2765957446808511,3.337315388726874
16.07.2020,14:03:38,12.065678713089467,0.28723404255319146,3.465673672908676
16.07.2020,14:03:38,12.0728735125606,0.3404255319148936,4.109914387254672
16.07.2020,14:03:38,12.058483913618334,0.2978723404255319,3.5918888253331205
16.07.2020,14:03:39,12.065678713089467,0.2765957446808511,3.337315388726874
16.07.2020,14:03:39,12.080068312031733,0.2553191489361702,3.08427276051874
16.07.2020,14:03:39,12.0728735125606,0.30851063829787234,3.7246099134495467
16.07.2020,14:03:40,12.065678713089467,0.3191489361702127,3.8507485254540845
16.07.2020,14:03:40,12.065678713089467,0.30851063829787234,3.7223902412722825
16.07.2020,14:03:41,12.058483913618334,0.26595744680851063,3.207043594047429
16.07.2020,14:03:41,12.0728735125606,0.26595744680851063,3.2108706150427127
16.07.2020,14:03:41,12.0728735125606,0.30851063829787234,3.7246099134495467
